date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:27:15	76/76	---MCZ	200	added ('OK')	text/plain	date:Tue,%2008%20Jul%202025%2005:23:11%20GMT	https://garfagnanadream.it/robots.txt		(from )
10:27:15	324982/324982	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Jun%202025%2023:00:59%20GMT	https://garfagnanadream.it/garfagnana-fishing/	C:/My%20Web%20Sites/garfagnanafishing%20direct/garfagnanadream.it/garfagnana-fishing/index.html	(from )
10:27:15	247370/247370	---MCZ	200	added ('OK')	text/css	etag:W/%223c64a-62cbe674-a6b0fb623e3539df;br%22	https://garfagnanadream.it/wp-content/plugins/geodirectory/vendor/ayecode/wp-ayecode-ui/assets/css/ayecode-ui-compatibility.css?ver=0.1.72	C:/My%20Web%20Sites/garfagnanafishing%20direct/garfagnanadream.it/wp-content/plugins/geodirectory/vendor/ayecode/wp-ayecode-ui/assets/css/ayecode-ui-compatibility852c.css	(from https://garfagnanadream.it/garfagnana-fishing/)
10:27:15	58171/58171	---MCZ	200	added ('OK')	text/css	etag:W/%22e33b-60a13a38-f2e19c52ecc54d9b;br%22	https://garfagnanadream.it/wp-includes/css/dist/block-library/style.min.css?ver=08b094a93e5d3b077fa408dcc445d272	C:/My%20Web%20Sites/garfagnanafishing%20direct/garfagnanadream.it/wp-includes/css/dist/block-library/style.minfea8.css	(from https://garfagnanadream.it/garfagnana-fishing/)
10:27:16	14966/14966	---MCZ	200	added ('OK')	text/css	etag:W/%223a76-62cbe673-680d6ee2978c1500;br%22	https://garfagnanadream.it/wp-content/plugins/geodirectory/assets/css/select2/select2.css?ver=2.2.8	C:/My%20Web%20Sites/garfagnanafishing%20direct/garfagnanadream.it/wp-content/plugins/geodirectory/assets/css/select2/select27888.css	(from https://garfagnanadream.it/garfagnana-fishing/)
10:27:16	161570/161570	---MCZ	200	added ('OK')	text/css	etag:W/%2227722-62cbe673-4b1276a6c97fa990;br%22	https://garfagnanadream.it/wp-content/plugins/geodirectory/assets/css/gd_core_frontend.css?ver=2.2.8	C:/My%20Web%20Sites/garfagnanafishing%20direct/garfagnanadream.it/wp-content/plugins/geodirectory/assets/css/gd_core_frontend7888.css	(from https://garfagnanadream.it/garfagnana-fishing/)
10:27:16	11197/11197	---MCZ	200	added ('OK')	text/css	etag:W/%222bbd-62cbe673-a42f2d150d3fe6da;br%22	https://garfagnanadream.it/wp-content/plugins/geodirectory/assets/leaflet/leaflet.css?ver=2.2.8	C:/My%20Web%20Sites/garfagnanafishing%20direct/garfagnanadream.it/wp-content/plugins/geodirectory/assets/leaflet/leaflet7888.css	(from https://garfagnanadream.it/garfagnana-fishing/)
10:27:16	8107/8107	---MCZ	200	added ('OK')	text/css	etag:W/%221fab-62cbe673-5bcc67be8f5e34a4;br%22	https://garfagnanadream.it/wp-content/plugins/geodirectory/assets/leaflet/routing/leaflet-routing-machine.css?ver=2.2.8	C:/My%20Web%20Sites/garfagnanafishing%20direct/garfagnanadream.it/wp-content/plugins/geodirectory/assets/leaflet/routing/leaflet-routing-machine7888.css	(from https://garfagnanadream.it/garfagnana-fishing/)
10:27:17	14277/14277	---MCZ	200	added ('OK')	text/css	etag:W/%2237c5-62cbe663-bd9a7dbba292bff7;br%22	https://garfagnanadream.it/wp-content/plugins/geodir_advance_search_filters/assets/css/style.css?ver=2.2.5	C:/My%20Web%20Sites/garfagnanafishing%20direct/garfagnanadream.it/wp-content/plugins/geodir_advance_search_filters/assets/css/style5bf8.css	(from https://garfagnanadream.it/garfagnana-fishing/)
10:27:17	1212/1212	---MCZ	200	added ('OK')	text/css	etag:W/%224bc-62cbe652-379fce54933c14da;br%22	https://garfagnanadream.it/wp-content/plugins/geodir_custom_posts/assets/css/style.css?ver=2.2	C:/My%20Web%20Sites/garfagnanafishing%20direct/garfagnanadream.it/wp-content/plugins/geodir_custom_posts/assets/css/styledc8c.css	(from https://garfagnanadream.it/garfagnana-fishing/)
10:27:17	8585/8585	---MCZ	200	added ('OK')	text/css	etag:W/%222189-62cbe768-f63ed2642760b78b;br%22	https://garfagnanadream.it/wp-content/plugins/geodir_location_manager/assets/css/geodir-location.css?ver=2.2.4	C:/My%20Web%20Sites/garfagnanafishing%20direct/garfagnanadream.it/wp-content/plugins/geodir_location_manager/assets/css/geodir-locationac31.css	(from https://garfagnanadream.it/garfagnana-fishing/)
10:27:17	2418/2418	---MCZ	200	added ('OK')	text/css	etag:W/%22972-62cbe757-4c340886edd7aa6;br%22	https://garfagnanadream.it/wp-content/plugins/onesignal-free-web-push-notifications/css/onsignal-amp-style.css?ver=0.1	C:/My%20Web%20Sites/garfagnanafishing%20direct/garfagnanadream.it/wp-content/plugins/onesignal-free-web-push-notifications/css/onsignal-amp-styleb3e8.css	(from https://garfagnanadream.it/garfagnana-fishing/)
